YEAR,MONTH,DAY,HOUR,Temperature at 2 meters (C),Specific Humidity at 2 meters (g/kg),Surface pressure (kPa),Wind speed at 10 meters (m/s),Wind direction at 10 meters (Degrees)
2021,12,1,0,23.9,18.01,100.47,1.22,358.9
2021,12,1,1,23.53,17.7,100.43,1.45,359.38
2021,12,1,2,23.19,17.33,100.4,1.6,4.76
2021,12,1,3,22.87,17.03,100.39,1.65,355.93
2021,12,1,4,22.58,16.72,100.41,1.67,340.89
2021,12,1,5,22.4,16.48,100.47,1.85,326.92
2021,12,1,6,22.46,16.42,100.57,2.4,321.49
2021,12,1,7,23.1,16.72,100.65,2.8,326.62
2021,12,1,8,24.65,17.21,100.7,2.25,7.59
2021,12,1,9,26.41,17.33,100.71,2.48,48.83
2021,12,1,10,27.61,17.64,100.68,2.9,61.5
2021,12,1,11,28.43,17.94,100.56,3.05,59.56
2021,12,1,12,29.06,18.25,100.45,2.93,55.33
2021,12,1,13,29.37,18.31,100.37,2.73,50.8
2021,12,1,14,29.2,18.25,100.29,2.59,42.68
2021,12,1,15,28.68,18.8,100.32,2.29,33.15
2021,12,1,16,27.55,18.31,100.35,2.63,25.73
2021,12,1,17,26.17,18.8,100.41,2,17.73
2021,12,1,18,25.27,18.37,100.52,1.99,14.31
2021,12,1,19,24.62,17.88,100.62,2.12,16.7
2021,12,1,20,24.06,17.46,100.67,2.13,22.7
2021,12,1,21,23.58,17.03,100.71,2.02,30.43
2021,12,1,22,23.08,16.54,100.71,1.96,34.45
2021,12,1,23,22.65,16.17,100.68,1.9,31
